Rank	Journal	Journal.ISSN.(print.version)	Journal.EISSN.(online.version)	Pmid	Doi	fulltext	Journal.title	Journal.URL	Alternative.title	Publisher	Society.or.institution	"Platform,.host.or.aggregator"	Country.of.publisher	Journal.article.processing.charges.(APCs)	APC.information.URL	APC.amount	Currency	Journal.article.submission.fee	Submission.fee.URL	Submission.fee.amount	Submission.fee.currency	Journal.waiver.policy.(for.developing.country.authors.etc)	Waiver.policy.information.URL	Digital.archiving.policy.or.program(s)	Archiving:.national.library	Archiving:.other	Archiving.infomation.URL	Journal.full-text.crawl.permission	Permanent.article.identifiers	Journal.provides.download.statistics	Download.statistics.information.URL	First.calendar.year.journal.provided.online.Open.Access.content	Full.text.formats	Keywords	Full.text.language	URL.for.the.Editorial.Board.page	Review.process	Review.process.information.URL	URL.for.journal's.aims.&.scope	URL.for.journal's.instructions.for.authors	Journal.plagiarism.screening.policy	Plagiarism.information.URL	Average.number.of.weeks.between.submission.and.publication	URL.for.journal's.Open.Access.statement	Machine-readable.CC.licensing.information.embedded.or.displayed.in.articles	URL.to.an.example.page.with.embedded.licensing.information	Journal.license	License.attributes	URL.for.license.terms	Does.this.journal.allow.unrestricted.reuse.in.compliance.with.BOAI?	Deposit.policy.directory	Author.holds.copyright.without.restrictions	Copyright.information.URL	Author.holds.publishing.rights.without.restrictions	Publishing.rights.information.URL	DOAJ.Seal	Tick:.Accepted.after.March.2014	Added.on.Date	Subjects	Number.of.Article.Records	Most.Recent.Article.Added	
612	PLoS Comput. Biol.	1553-734X	1553-7358	32208421	10.1371/journal.pcbi.1007583	done	PLoS Computational Biology	http://journals.plos.org/ploscompbiol/	NA	Public Library of Science (PLoS)	NA	Public Library of Science (PLoS)	United States	Yes	http://journals.plos.org/ploscompbiol/s/publication-fees	2250	USD - US Dollar	NA	http://journals.plos.org/ploscompbiol/s/publication-fees	NA	NA	Yes	https://www.plos.org/publications/publication-fees/plos-publication-fee-assistance/	"LOCKSS, PMC/Europe PMC/PMC Canada"	NA	NA	http://journals.plos.org/ploscompbiol/s/publishing-information	Yes	DOI	Yes	http://www.lagotto.io/plos/	2005	"PDF, HTML, XML"	"dna sequences, protein structures, biological data"	English	http://journals.plos.org/ploscompbiol/s/editorial-board	Peer review	http://journals.plos.org/ploscompbiol/s/editorial-and-peer-review-process	http://journals.plos.org/ploscompbiol/s/journal-information#loc-scope	http://journals.plos.org/ploscompbiol/s/submission-guidelines	Yes	http://journals.plos.org/ploscompbiol/s/ethical-publishing-practice#loc-plagiarism	32	http://journals.plos.org/ploscompbiol/s/journal-information#loc-open-access	Yes	http://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004636	CC BY	NA	http://journals.plos.org/ploscompbiol/s/content-license	Yes	Sherpa/Romeo	TRUE	http://journals.plos.org/ploscompbiol/s/content-license	TRUE	http://journals.plos.org/ploscompbiol/s/content-license	Yes	Yes	2005-01-11T14:38:06Z	Science: Biology (General)	7056	2020-03-26T05:41:25Z	
613	PLoS Genet.	1553-7390	1553-7404	32203519	10.1371/journal.pgen.1008678	done	PLoS Genetics	http://journals.plos.org/plosgenetics/	NA	Public Library of Science (PLoS)	NA	Public Library of Science (PLoS)	United States	Yes	http://journals.plos.org/plosgenetics/s/publication-fees	2250	USD - US Dollar	NA	http://journals.plos.org/plosgenetics/s/publication-fees	NA	NA	Yes	https://www.plos.org/publications/publication-fees/plos-publication-fee-assistance/	"LOCKSS, PMC/Europe PMC/PMC Canada"	NA	NA	http://journals.plos.org/plosgenetics/s/publishing-information	Yes	DOI	Yes	http://www.lagotto.io/plos/	2005	"PDF, HTML, XML"	"gene discovery, population genetics, genome projects, comparative genomics, functional genomics, medical genetics"	English	http://journals.plos.org/plosgenetics/s/editorial-board	Peer review	http://journals.plos.org/plosgenetics/s/editorial-and-peer-review-process	http://journals.plos.org/plosgenetics/s/journal-information#loc-scope	http://journals.plos.org/plosgenetics/s/submission-guidelines	Yes	http://journals.plos.org/plosgenetics/s/ethical-publishing-practice#loc-plagiarism	26	http://journals.plos.org/plosgenetics/s/journal-information#loc-open-access	Yes	http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005770	CC BY	NA	http://journals.plos.org/plosgenetics/s/content-license	Yes	Sherpa/Romeo	TRUE	http://journals.plos.org/plosgenetics/s/content-license	TRUE	http://journals.plos.org/plosgenetics/s/content-license	Yes	Yes	2005-01-11T14:44:02Z	Science: Biology (General): Genetics	8573	2020-03-26T05:30:06Z	
614	PLoS Med.	1549-1277	1549-1676	32208416	10.1371/journal.pmed.1003066	done	PLoS Medicine	http://journals.plos.org/plosmedicine/	NA	Public Library of Science (PLoS)	NA	Public Library of Science (PLoS)	United States	Yes	http://journals.plos.org/plosmedicine/s/publication-fees	2900	USD - US Dollar	NA	http://journals.plos.org/plosmedicine/s/publication-fees	NA	NA	Yes	https://www.plos.org/publications/publication-fees/plos-publication-fee-assistance/	"LOCKSS, PMC/Europe PMC/PMC Canada"	NA	NA	http://journals.plos.org/plosmedicine/s/publishing-information	Yes	DOI	Yes	http://www.lagotto.io/plos/	2004	"PDF, HTML, XML"	"human health, human disease, clinical investigation, clinical evidence"	English	http://journals.plos.org/plosmedicine/s/editorial-board	Peer review	http://journals.plos.org/plosmedicine/s/editorial-and-peer-review-process	http://journals.plos.org/plosmedicine/s/journal-information#loc-scope	http://journals.plos.org/plosmedicine/s/submission-guidelines	Yes	http://journals.plos.org/plosmedicine/s/ethical-publishing-practice#loc-plagiarism	32	http://journals.plos.org/plosmedicine/s/journal-information#loc-open-access	Yes	http://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1001926	CC BY	NA	http://journals.plos.org/plosmedicine/s/content-license	Yes	Sherpa/Romeo	TRUE	http://journals.plos.org/plosmedicine/s/content-license	TRUE	http://journals.plos.org/plosmedicine/s/content-license	Yes	Yes	2004-05-04T14:16:44Z	Medicine	4329	2020-03-26T05:41:42Z	
615	PLoS Negl Trop Dis	1935-2727	1935-2735	32208419	10.1371/journal.pntd.0008193	done	PLoS Neglected Tropical Diseases	http://journals.plos.org/plosntds/	NA	Public Library of Science (PLoS)	NA	Public Library of Science (PLoS)	United States	Yes	http://journals.plos.org/plosntds/s/publication-fees	2250	USD - US Dollar	NA	http://journals.plos.org/plosntds/s/publication-fees	NA	NA	Yes	https://www.plos.org/publications/publication-fees/plos-publication-fee-assistance/	"LOCKSS, PMC/Europe PMC/PMC Canada"	NA	NA	http://journals.plos.org/plosntds/s/publishing-information	Yes	DOI	Yes	http://www.lagotto.io/plos/	2007	"PDF, HTML, XML"	"elephantiasis, river blindness, leprosy, hookworm, schistosomiasis, african sleeping sickness"	English	http://journals.plos.org/plosntds/s/editorial-board	Peer review	http://journals.plos.org/plosntds/s/editorial-and-peer-review-process	http://journals.plos.org/plosntds/s/journal-information#loc-scope	http://journals.plos.org/plosntds/s/submission-guidelines	Yes	http://journals.plos.org/plosntds/s/ethical-publishing-practice#loc-plagiarism	23	http://journals.plos.org/plosntds/s/journal-information#loc-open-access	Yes	http://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0004318	CC BY	NA	http://journals.plos.org/plosntds/s/content-license	Yes	Sherpa/Romeo	TRUE	http://journals.plos.org/plosntds/s/content-license	TRUE	http://journals.plos.org/plosntds/s/content-license	Yes	Yes	2008-04-22T15:53:34Z	Medicine: Internal medicine: Special situations and conditions: Arctic medicine. Tropical medicine | Medicine: Public aspects of medicine	7676	2020-03-26T05:41:37Z	
616	PLoS Pathog.	1553-7366	1553-7374	32208465	10.1371/journal.ppat.1008448	done	PLoS Pathogens	http://journals.plos.org/plospathogens/	NA	Public Library of Science (PLoS)	NA	Public Library of Science (PLoS)	United States	Yes	http://journals.plos.org/plospathogens/s/publication-fees	2250	USD - US Dollar	NA	http://journals.plos.org/plospathogens/s/publication-fees	NA	NA	Yes	https://www.plos.org/publications/publication-fees/plos-publication-fee-assistance/	"LOCKSS, PMC/Europe PMC/PMC Canada"	NA	NA	http://journals.plos.org/plospathogens/s/publishing-information	Yes	DOI	Yes	http://www.lagotto.io/plos/	2005	"PDF, HTML, XML"	"pathogens, bacteria, fungi, parasites, prions, viruses"	English	http://journals.plos.org/plospathogens/s/editorial-board	Peer review	http://journals.plos.org/plospathogens/s/editorial-and-peer-review-process	http://journals.plos.org/plospathogens/s/journal-information#loc-scope	http://journals.plos.org/plospathogens/s/submission-guidelines	Yes	http://journals.plos.org/plospathogens/s/ethical-publishing-practice#loc-plagiarism	24	http://journals.plos.org/plospathogens/s/journal-information#loc-open-access	Yes	http://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1005354	CC BY	NA	http://journals.plos.org/plospathogens/s/content-license	Yes	Sherpa/Romeo	TRUE	http://journals.plos.org/plospathogens/s/content-license	TRUE	http://journals.plos.org/plospathogens/s/content-license	Yes	Yes	2005-03-21T15:48:02Z	Medicine: Internal medicine: Specialties of internal medicine: Immunologic diseases. Allergy | Science: Biology (General)	7970	2020-03-26T05:41:49Z	
617	Pol J Pathol	1233-9687	2084-9869	31820870	10.5114/pjp.2019.90403	done	Polish Journal of Pathology	http://www.termedia.pl/Journal/Polish_Journal_of_Pathology-55/Info	NA	Termedia Publishing House	Polish Association of Pathologists and the Polish Branch of the International Academy of Pathology	Termedia Publishing House - Bentus	Poland	No	http://www.termedia.pl/Journal/Polish_Journal_of_Pathology-55/For-authors	NA	NA	Yes	http://www.termedia.pl/Journal/Polish_Journal_of_Pathology-55/For-authors	250	EUR - Euro	NA	NA	NA	NA	NA	http://www.termedia.pl/Journal/Polish_Journal_of_Pathology-55/Indexing	Yes	DOI	NA	NA	2009	"PDF, HTML, XML"	"pathomorphology, biology, molecular biology, cytogenetics, clinical oncology"	English	http://www.termedia.pl/Journal/Polish_Journal_of_Pathology-55/Info	Peer review	http://www.termedia.pl/Journal/Polish_Journal_of_Pathology-55/Dla_autorow	http://www.termedia.pl/Journal/Polish_Journal_of_Pathology-55/Info	http://www.termedia.pl/Journal/Polish_Journal_of_Pathology-55/Dla_autorow	NA	NA	10	http://www.termedia.pl/Journal/Polish_Journal_of_Pathology-55/Info	Yes	"https://www.termedia.pl/Candida-Albicans-Alcohol-Dehydrogenase-1-gene-in-oral-dysplasia-and-oral-squamous-cell-carcinoma,55,38851,1,1.html"	CC BY-NC-SA	NA	https://www.termedia.pl/Journal/Polish_Journal_of_Pathology-55/Info	Yes	NA	FALSE	NA	FALSE	NA	No	Yes	2015-10-07T10:46:40Z	Medicine	123	2019-06-13T11:15:13Z	
618	Polar Res	0800-0395	1751-8369	28490834	10.3402/polar.v35.27105	done	Polar Research	https://polarresearch.net/index.php/polar/index	NA	 Norwegian Polar Institute	NA	OJS	Norway	Yes	https://polarresearch.net/index.php/polar/apc	790	EUR - Euro	NA	https://polarresearch.net/index.php/polar/apc	NA	NA	Yes	https://polarresearch.net/index.php/polar/waivers	"CLOCKSS, LOCKSS, Portico"	NA	NA	https://polarresearch.net/index.php/polar/about	Yes	DOI	Yes	https://polarresearch.net/index.php/polar/article/view/3375	2011	"PDF, HTML, ePUB, XML"	"oceanography, glaciology, atmospheric science, polar management"	English	https://polarresearch.net/index.php/polar/team	Blind peer review	https://polarresearch.net/index.php/polar/about	https://polarresearch.net/index.php/polar/about	https://polarresearch.net/index.php/polar/author	Yes	https://polarresearch.net/index.php/polar/author	53	https://polarresearch.net/index.php/polar/openaccess	Yes	https://polarresearch.net/index.php/polar/article/view/3375/9087	CC BY-NC	NA	https://polarresearch.net/index.php/polar/openaccess	Yes	Sherpa/Romeo	TRUE	https://polarresearch.net/index.php/polar/openaccess	TRUE	https://polarresearch.net/index.php/polar/openaccess	Yes	Yes	2011-02-23T14:13:25Z	Geography. Anthropology. Recreation: Environmental sciences | Geography. Anthropology. Recreation: Oceanography	421	2020-03-21T03:04:26Z	
619	Popul Health Metr	NA	1478-7954	32024531	10.1186/s12963-020-0202-z	done	Population Health Metrics	http://www.pophealthmetrics.com/	NA	BMC	NA	BMC	United Kingdom	Yes	http://pophealthmetrics.biomedcentral.com/about	1370	GBP - Pound Sterling	NA	http://pophealthmetrics.biomedcentral.com/about	NA	NA	Yes	http://pophealthmetrics.biomedcentral.com/about	"LOCKSS, CLOCKSS, Portico, PMC/Europe PMC/PMC Canada"	British Library; Koninklijke Bibliotheek	NA	http://www.biomedcentral.com/getpublished/indexing-archiving-and-access-to-data/journal-archiving	Yes	DOI	Yes	http://www.biomedcentral.com/getpublished/indexing-archiving-and-access-to-data/article-metrics	2003	"PDF, HTML, ePUB"	"public health, global health, health inequality"	English	http://pophealthmetrics.biomedcentral.com/about/editorial-board	Open peer review	http://pophealthmetrics.biomedcentral.com/about	http://pophealthmetrics.biomedcentral.com/about	http://pophealthmetrics.biomedcentral.com/submission-guidelines	Yes	http://www.biomedcentral.com/getpublished/editorial-policies	29	http://pophealthmetrics.biomedcentral.com/about	Yes	http://pophealthmetrics.biomedcentral.com/articles/10.1186/s12963-017-0125-5	CC BY	NA	http://www.biomedcentral.com/getpublished/copyright-and-license	Yes	Sherpa/Romeo	TRUE	http://www.biomedcentral.com/about/policies/license-agreement	TRUE	http://www.biomedcentral.com/about/policies/license-agreement	Yes	Yes	2003-07-07T00:00:00Z	Medicine: Medicine (General): Computer applications to medicine. Medical informatics | Medicine: Public aspects of medicine	289	2020-02-09T12:07:51Z	
620	Postepy Kardiol Interwencyjnej	1734-9338	1897-4295	31933673	10.5114/aic.2019.90232	done	Advances in Interventional Cardiology	http://www.termedia.pl/Journal/Advances_in_Interventional_Cardiology-35	Postępy w Kardiologii Interwencyjnej	Termedia Publishing House	Association on Cardiovascular Interventions of the Polish Cardiac Society	Termedia Publishing House - Bentus	Poland	No	http://www.termedia.pl/Journal/Postepy_w_Kardiologii_Interwencyjnej-35/For-authors	NA	NA	NA	http://www.termedia.pl/Journal/Postepy_w_Kardiologii_Interwencyjnej-35/For-authors	NA	NA	NA	NA	PMC/Europe PMC/PMC Canada	NA	NA	http://www.termedia.pl/Journal/Postepy_w_Kardiologii_Interwencyjnej-35/Indexing	Yes	DOI	NA	NA	2005	"PDF, HTML"	"interventional cardiology, cardiology"	English	http://www.termedia.pl/Journal/Postepy_w_Kardiologii_Interwencyjnej-35/Info	Peer review	http://www.termedia.pl/Journal/Postepy_w_Kardiologii_Interwencyjnej-35/For-authors	http://www.termedia.pl/Journal/Postepy_w_Kardiologii_Interwencyjnej-35/For-authors	http://www.termedia.pl/Journal/Postepy_w_Kardiologii_Interwencyjnej-35/For-authors	Yes	http://www.termedia.pl/Journal/Postepy_w_Kardiologii_Interwencyjnej-35/For-authors	15	http://www.termedia.pl/Journal/Postepy_w_Kardiologii_Interwencyjnej-35/Info	Yes	"http://www.termedia.pl/Protected-percutaneous-coronary-intervention-a-new-road-for-success-in-treating-complex-patients,35,28114,1,1.html"	CC BY-NC-SA	NA	http://www.termedia.pl/Journal/Postepy_w_Kardiologii_Interwencyjnej-35/Info	Yes	PMC	TRUE	http://www.termedia.pl/Journal/Postepy_w_Kardiologii_Interwencyjnej-35/Info	TRUE	http://www.termedia.pl/Journal/Postepy_w_Kardiologii_Interwencyjnej-35/Info	No	Yes	2016-12-12T15:42:01Z	Medicine	189	2019-06-13T11:16:18Z	
621	PPAR Res	1687-4757	1687-4765	32206061	10.1155/2020/2410264	done	PPAR Research	http://www.hindawi.com/journals/ppar/	NA	Hindawi Limited	NA	Hindawi	United Kingdom	Yes	http://www.hindawi.com/journals/ppar/apc/	1300	USD - US Dollar	NA	http://www.hindawi.com/journals/ppar/apc/	NA	NA	Yes	http://www.hindawi.com/journals/ppar/apc/	"LOCKSS, PMC/Europe PMC/PMC Canada, Portico"	NA	NA	http://www.hindawi.com/journals/ppar/ai/	Yes	DOI	Yes	https://www.hindawi.com/journals/ppar/2019/1371758/	2006	"PDF, HTML, ePUB, XML"	"ppar alpha, ppar-beta, ppar delta, ppar gamma, peroxisome proliferator-activated receptors"	English	http://www.hindawi.com/journals/ppar/editors/	Blind peer review	http://www.hindawi.com/journals/ppar/workflow/	http://www.hindawi.com/journals/ppar/aims/	http://www.hindawi.com/journals/ppar/guidelines/	Yes	http://www.hindawi.com/journals/ppar/ethics/	12	http://www.hindawi.com/journals/ppar/	Yes	http://www.hindawi.com/journals/ppar/2015/254560/	CC BY	NA	http://www.hindawi.com/journals/ppar/guidelines/	Yes	Sherpa/Romeo	TRUE	http://www.hindawi.com/journals/ppar/guidelines/	TRUE	http://www.hindawi.com/journals/ppar/guidelines/	Yes	Yes	2006-06-30T16:18:17Z	Science: Biology (General)	530	2020-03-16T10:11:24Z	
622	Prague Med Rep	1214-6994	2336-2936	32191620	10.14712/23362936.2020.5	done	Prague Medical Report	https://pmr.lf1.cuni.cz/	NA	Karolinum Press	Charles University	NA	Czechia	No	https://pmr.lf1.cuni.cz/for-authors.html	NA	NA	NA	https://pmr.lf1.cuni.cz/for-authors.html	NA	NA	NA	NA	Portico	NA	NA	https://thekeepers.org/purl/issn/1214-6994	Yes	DOI	NA	NA	2012	PDF	"medicine, biomedicine"	English	https://pmr.lf1.cuni.cz/editorial-board.html	Double blind peer review	https://pmr.lf1.cuni.cz/for-authors.html	https://pmr.lf1.cuni.cz/	https://pmr.lf1.cuni.cz/for-authors.html	NA	NA	20	https://pmr.lf1.cuni.cz/for-authors.html	NA	NA	CC BY	NA	https://pmr.lf1.cuni.cz/for-authors.html	Yes	NA	TRUE	https://pmr.lf1.cuni.cz/for-authors.html	TRUE	https://pmr.lf1.cuni.cz/for-authors.html	No	Yes	2017-10-20T10:37:49Z	Medicine: Medicine (General)	176	2020-01-15T06:21:50Z	
623	Protein Cell	1674-800X	1674-8018	32200531	10.1007/s13238-020-00704-y	done	Protein & Cell	http://www.springer.com/13238	NA	SpringerOpen	Higher Education Press LTD	NA	China	No	http://www.springeropen.com/about/apcfaq/howmuch	NA	NA	NA	http://www.springeropen.com/about/faq/charges	NA	NA	Yes	http://springeropen.com/authors/oawaiverfund	"LOCKSS, CLOCKSS, Portico"	German National Library	Koninklijke Bibliotheek	http://www.springeropen.com/about/archive	Yes	DOI	NA	NA	2014	"PDF, HTML"	"biochemistry, protein science, cell biology, stem cells, human genetics, developmental biology"	English	http://www.springer.com/13238?detailsPage=editorialBoard	Peer review	http://www.springer.com/13238	http://www.springer.com/13238	http://www.springer.com/13238	Yes	https://www.springer.com/gp/authors-editors/editors/publishing-ethics-for-journals/4176#c4238	13	http://springeropen.com/about/copyright	Yes	http://link.springer.com/article/10.1007/s13238-015-0142-8/fulltext.html	CC BY	NA	http://www.springeropen.com/about /license 	Yes	Sherpa/Romeo	TRUE	http://www.springeropen.com/about/copyright	TRUE	http://www.springeropen.com/about/copyright	Yes	Yes	2016-02-09T10:48:26Z	Science: Biology (General): Cytology | Science: Physiology: Animal biochemistry	389	2020-03-08T12:02:37Z	
624	Psicol Estud	1413-7372	1807-0329	21886456	10.1590/S1413-73722008000400006	done	Psicologia em Estudo	http://www.scielo.br/scielo.php/script_sci_serial/pid_1413-7372/lng_en/nrm_iso	NA	Universidade Estadual de Maringá	NA	SciELO Brazil	Brazil	No	http://www.scielo.br/revistas/pe/iinstruc.htm	NA	NA	NA	http://www.scielo.br/revistas/pe/iinstruc.htm	NA	NA	NA	NA	NA	NA	NA	NA	Yes	DOI	Yes	http://www.scielo.br/statjournal.php?lang=en&issn=1413-7372	2000	"PDF, HTML"	"psychology, social sciences, and health sciences, health sciences"	"English, French, Portuguese, Spanish"	http://www.scielo.br/revistas/pe/iedboard.htm	Blind peer review	http://www.scielo.br/revistas/pe/iinstruc.htm	http://www.scielo.br/revistas/pe/iinstruc.htm	http://www.scielo.br/revistas/pe/iinstruc.htm	NA	NA	28	http://www.scielo.br/revistas/pe/isubscrp.htm	Yes	http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722014000400599&lng=en&nrm=iso	CC BY-NC	NA	http://www.scielo.br/scielo.php/script_sci_serial/pid_1413-7372/lng_en/nrm_iso	Yes	NA	FALSE	NA	FALSE	NA	No	Yes	2004-04-23T21:31:01Z	Philosophy. Psychology. Religion: Psychology	1232	2020-03-16T13:20:36Z	
625	Psicol Reflex Crit	0102-7972	1678-7153	32170555	10.1186/s41155-020-00141-0	todo	Psicologia: Reflexão e Crítica	https://prc.springeropen.com	Psychology: Reflection and Criticism	SpringerOpen	Universidade Federal do Rio Grande do Sul	SpringerOpen	United Kingdom	Yes	https://prc.springeropen.com/about	660	GBP - Pound Sterling	NA	https://prc.springeropen.com/about	NA	NA	Yes	https://prc.springeropen.com/about	CLOCKSS	NA	NA	http://www.springeropen.com/get-published/indexing-archiving-and-access-to-data/journal-archiving	Yes	DOI	Yes	https://www.springer.com/gp/authors-editors/journal-author/journal-author-helpdesk/article-level-metrics/23400	1997	"PDF, HTML"	"psychology, human development, psychological assessment, experimental psychology"	English	https://prc.springeropen.com/about/editorial-board	Blind peer review	https://prc.springeropen.com/about	https://prc.springeropen.com/about	https://prc.springeropen.com/submission-guidelines	Yes	http://www.springeropen.com/get-published/editorial-policies#duplicate+publication	24	https://prc.springeropen.com/about	Yes	https://prc.springeropen.com/articles/10.1186/s41155-016-0051-7	CC BY	NA	https://www.springeropen.com/get-published/copyright/copyright-and-license-agreement	Yes	Sherpa/Romeo	TRUE	http://www.springeropen.com/get-published/copyright/copyright-and-license-agreement	TRUE	http://www.springeropen.com/get-published/copyright/copyright-and-license-agreement	Yes	Yes	2004-04-23T21:31:01Z	Philosophy. Psychology. Religion: Psychology	1656	2020-03-15T12:20:18Z	
626	Psyche (Camb Mass)	0033-2615	1687-7438	25298571	10.1155/2013/465108	done	Psyche: A Journal of Entomology	https://www.hindawi.com/journals/psyche/	NA	Hindawi Limited	NA	Hindawi	United Kingdom	Yes	https://www.hindawi.com/journals/psyche/apc/	775	USD - US Dollar	NA	https://www.hindawi.com/journals/psyche/apc/	NA	NA	Yes	https://www.hindawi.com/journals/psyche/apc/	"LOCKSS, Portico"	NA	NA	https://www.hindawi.com/journals/psyche/ai/	Yes	DOI	Yes	https://www.hindawi.com/journals/psyche/2019/4939120/	1874	"PDF, HTML, ePUB, XML"	"entomology, insects"	English	https://www.hindawi.com/journals/psyche/editors/	Blind peer review	https://www.hindawi.com/journals/psyche/workflow/	https://www.hindawi.com/journals/psyche/aims/	https://www.hindawi.com/journals/psyche/guidelines/	Yes	https://www.hindawi.com/journals/psyche/ethics/	15	https://www.hindawi.com/journals/psyche/	Yes	https://www.hindawi.com/journals/psyche/2015/134630/	CC BY	NA	https://www.hindawi.com/journals/psyche/guidelines/	Yes	Sherpa/Romeo	TRUE	https://www.hindawi.com/journals/psyche/guidelines/	TRUE	https://www.hindawi.com/journals/psyche/guidelines/	Yes	Yes	2008-01-22T13:02:45Z	Science: Zoology	4700	2020-01-26T13:55:46Z	
627	Psychol Belg	0033-2879	2054-670X	32166039	10.5334/pb.518	todo	Psychologica Belgica	http://www.psychologicabelgica.com/	NA	Ubiquity Press	Belgian Association for Psychological Science	Ubiquity Press	United Kingdom	Yes	http://www.psychologicabelgica.com/about/submissions/	300	GBP - Pound Sterling	NA	http://www.psychologicabelgica.com/about/submissions/	NA	NA	NA	NA	"LOCKSS, CLOCKSS"	NA	NA	http://www.psychologicabelgica.com/about/editorialPolicies#archiving	Yes	DOI	Yes	http://www.psychologicabelgica.com/article/view/pb.au	2004	"PDF, HTML, XML"	"experimental psychology, social psychology, cognitive psychology, personality psychology, psychopathology, health psychology"	English	http://www.psychologicabelgica.com/about/editorialTeam	Double blind peer review	http://www.psychologicabelgica.com/about/editorialPolicies#peerReviewProcess	http://www.psychologicabelgica.com/about/editorialPolicies#focusAndScope	http://www.psychologicabelgica.com/about/submissions#authorGuidelines	Yes	http://www.psychologicabelgica.com/about/editorialPolicies#custom-0	4	http://www.psychologicabelgica.com/about/editorialPolicies#openAccessPolicy	Yes	http://www.psychologicabelgica.com/article/view/pb.au/227	CC BY	NA	http://www.psychologicabelgica.com/about/editorialPolicies#openAccessPolicy	Yes	Sherpa/Romeo	TRUE	http://www.psychologicabelgica.com/about/submissions#copyrightNotice	TRUE	http://www.psychologicabelgica.com/about/submissions#copyrightNotice	Yes	Yes	2014-10-29T15:01:48Z	Philosophy. Psychology. Religion: Psychology	306	2020-03-13T05:50:45Z	
628	Psychol Res Behav Manag	NA	1179-1578	32184685	10.2147/PRBM.S240263	done	Psychology Research and Behavior Management	http://www.dovepress.com/psychology-research-and-behavior-management-journal	NA	Dove Medical Press	NA	Dove Medical Press	United Kingdom	Yes	http://www.dovepress.com/journal_pricing_bands.php?journal_id=53	1958	USD - US Dollar	NA	http://www.dovepress.com/journal_pricing_bands.php?journal_id=53	NA	NA	Yes	http://www.dovepress.com/journal_pricing_bands.php?journal_id=53	"LOCKSS, CLOCKSS, PMC/Europe PMC/PMC Canada"	NA	NA	http://www.dovepress.com/why_publish_with_dove.php?content_id=3365	Yes	DOI	Yes	https://www.dovepress.com/why_publish_with_dove.php?content_id=3044	2008	"PDF, HTML"	"neuroscience, psychology, behaviour management, memory, decision making, behaviour modification"	English	http://www.dovepress.com/journal-editor-psychology-research-and-behavior-management-eic53	Blind peer review	http://www.dovepress.com/peer_review_guidelines.php	http://www.dovepress.com/aims-and-scope-psychology-research-and-behavior-management-d45-j53	http://www.dovepress.com/author_guidelines.php	Yes	http://www.dovepress.com/why_publish_with_dove.php?content_id=3225	16	http://www.dovepress.com/why_publish_with_dove.php?content_id=3045	Yes	http://www.dovepress.com/enhancing-early-engagement-with-mental-health-services-by-young-people-peer-reviewed-article-PRBM	CC BY-NC	NA	http://www.dovepress.com/why_publish_with_dove.php?content_id=3045	Yes	Sherpa/Romeo	FALSE	NA	FALSE	NA	No	Yes	2009-04-21T13:46:34Z	Philosophy. Psychology. Religion: Psychology | Social Sciences: Commerce: Business: Industrial psychology	408	2020-03-24T23:42:42Z	
629	Quim Nova	0100-4042	1678-7064	23766547	10.1590/S0100-40422013000200014	done	Química Nova	http://www.scielo.br/scielo.php/script_sci_serial/pid_0100-4042/lng_en/nrm_iso	NA	Sociedade Brasileira de Química	Sociedade Brasileira de Química	SciELO Brazil	Brazil	Yes	http://www.scielo.br/revistas/qn/iinstruc.htm#01	330	USD - US Dollar	NA	http://www.scielo.br/revistas/qn/iinstruc.htm#01	NA	NA	NA	NA	NA	NA	NA	http://www.scielo.br/statjournal.php?lang=en&issn=0100-4042	Yes	DOI	Yes	http://www.scielo.br/statjournal.php?lang=en&issn=0100-4042	1997	"PDF, HTML, XML"	exact and earth sciences	"English, Portuguese, Spanish"	http://www.scielo.br/revistas/qn/iedboard.htm	Peer review	http://www.scielo.br/revistas/qn/iinstruc.htm	http://www.scielo.br/revistas/qn/iinstruc.htm	http://www.scielo.br/revistas/qn/iinstruc.htm	NA	NA	12	http://www.scielo.br/revistas/qn/isubscrp.htm	Yes	http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422015000200202&lng=en&nrm=iso&tlng=pt	CC BY-NC	NA	http://www.scielo.br/scielo.php/script_sci_serial/pid_0100-4042/lng_en/nrm_iso	Yes	NA	FALSE	NA	FALSE	NA	No	Yes	2004-04-23T21:31:01Z	Science: Chemistry	4812	2019-09-09T15:44:12Z	
